SamplePic,SampleSound,SampleMovie,r,c,Correct,r_1,c_1,Foil1,r_2,c_2,Foil2,r_3,c_3,Foil3,r_4,c_4,Foil4,r_5,c_5,SampleMode,Feedback,Correct_1,RT,Comment,filename,trial,correct,shape_combination,session,cont_trial,condition,test_shape
none,Orangutan.wav,none,0,0,Orangutan_01.jpg,1,3,Coconut_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1187,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,69,1,Orangutan_01.jpg_Coconut_01.jpg,1,69,regular,"NA"
none,Bunny.wav,none,0,0,Bunny_02.jpg,3,1,Camera_01.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1286,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,70,1,Bunny_02.jpg_Camera_01.jpg,1,70,regular,"NA"
none,Blackberries.wav,none,0,0,Blackberries_01.jpg,2,1,Bubbles_01.jpg,3,3,none,0,0,none,0,0,none,0,0,2,yes,NO,1223,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,71,0,Blackberries_01.jpg_Bubbles_01.jpg,1,71,regular,"NA"
none,nono.wav,none,0,0,RSlide27.jpg,3,1,ESlide18.jpg,2,3,none,0,0,none,0,0,none,0,0,2,no,NO,1057,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,72,0,RSlide27.jpg_ESlide18.jpg,1,72,test,round
none,Bug.wav,none,0,0,Bug_01.jpg,2,3,Squirrel_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,NO,1189,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,73,0,Bug_01.jpg_Squirrel_01.jpg,1,73,regular,"NA"
none,Baby.wav,none,0,0,Baby_02.jpg,2,3,Groom_02.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,NO,1467,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,74,0,Baby_02.jpg_Groom_02.jpg,1,74,regular,"NA"
none,Car.wav,none,0,0,Car_01.jpg,2,2,Raisin_02.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1623,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,75,1,Car_01.jpg_Raisin_02.jpg,1,75,regular,"NA"
none,Strawberries.wav,none,0,0,Strawberries_01.jpg,3,2,Ball_02.jpg,2,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1795,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,76,1,Strawberries_01.jpg_Ball_02.jpg,1,76,regular,"NA"
none,Key.wav,none,0,0,Key_02.jpg,3,3,Watermelon_01.jpg,2,1,none,0,0,none,0,0,none,0,0,2,yes,YES,1453,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,77,1,Key_02.jpg_Watermelon_01.jpg,1,77,regular,"NA"
none,Stick.wav,none,0,0,Stick_01.jpg,2,1,Green Bean_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1424,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,78,1,Stick_01.jpg_Green Bean_01.jpg,1,78,regular,"NA"
none,Trash.wav,none,0,0,Trash_01.jpg,3,1,Cheese_02.jpg,2,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),2609,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,79,1,Trash_01.jpg_Cheese_02.jpg,1,79,regular,"NA"
none,Peas.wav,none,0,0,Peas_02.jpg,3,3,Hand_02.jpg,2,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1162,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,80,1,Peas_02.jpg_Hand_02.jpg,1,80,regular,"NA"
none,Foot.wav,none,0,0,Foot_02.jpg,2,3,Ice_02.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES,3745,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,81,1,Foot_02.jpg_Ice_02.jpg,1,81,regular,"NA"
none,Nyota.wav,none,0,0,Nyota_01.jpg,3,3,Shirt_02.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES,1650,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,82,1,Nyota_01.jpg_Shirt_02.jpg,1,82,regular,"NA"
none,dudu.wav,none,0,0,RSlide33.jpg,2,2,ESlide38.jpg,3,3,none,0,0,none,0,0,none,0,0,2,no,YES,975,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,83,1,RSlide33.jpg_ESlide38.jpg,1,83,test,round
